                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5884,                 3.4033,                 1.8299,                0.00333,                      1,                 0.0139,                0.00408,                 1.7066,                 4.1505,                 2.5621,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.2016,                 2.9444,                 1.5566,                0.00333,                      1,                0.66509,                0.33966,                 1.3274,                 3.6709,                 1.7328,             0.00013538,             0.00013538,             0.00013538
                      3,                 1.0003,                 2.0663,                 1.2755,                0.00333,                      1,                  0.995,                0.67232,                 1.0561,                 2.8391,                 1.2827,             0.00020548,             0.00020548,             0.00020548
                      4,                0.91786,                 1.4511,                  1.218,                0.93275,                    0.8,                0.93786,                0.62136,                 1.3069,                 2.4365,                 1.5164,              0.0002703,              0.0002703,              0.0002703
                      5,                0.87393,                 1.5327,                 1.1711,                0.86795,                    0.8,                0.93786,                0.61809,                 1.3817,                 2.7647,                 1.5401,             0.00032984,             0.00032984,             0.00032984
                      6,                0.94324,                 1.4025,                  1.188,                      1,                0.45962,                  0.995,                0.59575,                 1.3946,                 2.9757,                 1.5475,              0.0003841,              0.0003841,              0.0003841
                      7,                0.87648,                 1.2801,                 1.1769,                      1,                0.35814,                  0.995,                0.61576,                 1.2386,                 2.9902,                   1.46,             0.00043308,             0.00043308,             0.00043308
                      8,                0.77529,                 1.2498,                 1.0724,                0.00267,                    0.8,                0.79528,                0.52082,                 1.3219,                  3.169,                 1.4566,             0.00047678,             0.00047678,             0.00047678
                      9,                0.86972,                 1.2335,                 1.1053,                0.97431,                    0.8,                0.93786,                0.50132,                   1.35,                 3.0637,                 1.5544,              0.0005152,              0.0005152,              0.0005152
                     10,                0.93725,                    1.2,                 1.2141,                      1,                0.83178,                  0.995,                0.51423,                 1.8689,                 2.6132,                 2.2054,             0.00054834,             0.00054834,             0.00054834
                     11,                0.96882,                 1.2597,                 1.2307,                      1,                0.81977,                  0.995,                0.58775,                 1.4257,                 2.5182,                 1.7744,              0.0005762,              0.0005762,              0.0005762
                     12,                0.95841,                 1.2382,                  1.248,                0.81931,                0.91586,                0.92833,                0.63236,                 1.3411,                 2.5354,                 1.7756,             0.00059878,             0.00059878,             0.00059878
                     13,                0.88332,                 1.1333,                 1.1306,                      1,                0.95546,                  0.995,                0.51891,                 1.5571,                 2.5135,                 1.9193,             0.00061608,             0.00061608,             0.00061608
                     14,                0.83916,                 1.0246,                 1.0754,                0.95377,                    0.8,                0.96167,                0.55973,                 1.6283,                 2.4153,                 1.8965,              0.0006281,              0.0006281,              0.0006281
                     15,                0.93681,                 1.2923,                 1.1916,                      1,                0.96086,                  0.995,                0.58071,                 1.3276,                 2.2094,                 1.6531,             0.00063484,             0.00063484,             0.00063484
                     16,                0.84129,                 1.0849,                 1.1135,                      1,                0.95369,                  0.995,                0.67968,                 1.1869,                  1.906,                 1.4587,              0.0006363,              0.0006363,              0.0006363
                     17,                0.91525,                 1.1289,                 1.1699,                      1,                0.96955,                  0.995,                0.68576,                 1.0352,                 1.7707,                 1.2229,             0.00063248,             0.00063248,             0.00063248
                     18,                 0.8448,                 1.1949,                 1.1411,                      1,                0.98377,                  0.995,                0.80354,                0.81022,                  1.773,                 1.1422,             0.00062338,             0.00062338,             0.00062338
                     19,                 0.8613,                 1.0893,                 1.1349,                0.92341,                      1,                  0.995,                0.82358,                0.79707,                 1.8117,                 1.1347,               0.000609,               0.000609,               0.000609
                     20,                 0.8366,                 1.0211,                 1.1252,                0.84158,                      1,                  0.995,                0.75221,                0.84621,                 1.9003,                 1.1724,             0.00058934,             0.00058934,             0.00058934
                     21,                0.61879,                 1.2734,                0.98936,                 0.9211,                      1,                  0.995,                0.70896,                 1.0872,                 2.0918,                 1.2594,              0.0005644,              0.0005644,              0.0005644
                     22,                0.59136,                 1.2799,                0.96429,                0.94981,                      1,                  0.995,                0.72894,                 1.1301,                 2.2138,                 1.3959,             0.00053418,             0.00053418,             0.00053418
                     23,                0.57022,                 1.2565,                0.96634,                 0.9854,                      1,                  0.995,                0.65396,                 1.1782,                 2.0648,                  1.408,             0.00049868,             0.00049868,             0.00049868
                     24,                0.53209,                 1.1863,                0.91181,                0.78122,                      1,                0.96167,                0.62488,                  1.035,                 1.9698,                 1.3222,              0.0004579,              0.0004579,              0.0004579
                     25,                0.57799,                 1.1333,                0.94687,                0.95886,                      1,                  0.995,                0.69565,                 1.0491,                  1.913,                 1.2692,             0.00041184,             0.00041184,             0.00041184
                     26,                0.54355,                 1.1375,                0.92182,                0.96243,                      1,                  0.995,                0.71896,                 1.0017,                 1.6985,                 1.2176,                0.00035,                0.00035,                0.00035
                     27,                0.54369,                 1.0884,                0.98276,                0.90948,                      1,                  0.995,                0.72064,                0.91674,                 1.4552,                 1.1595,               0.000284,               0.000284,               0.000284
                     28,                0.49812,                 1.0132,                0.87193,                0.97525,                      1,                  0.995,                0.73062,                0.88569,                 1.3228,                 1.1433,               0.000218,               0.000218,               0.000218
                     29,                0.48477,                 1.0024,                0.89024,                0.97775,                      1,                  0.995,                0.75161,                0.82792,                 1.2624,                 1.0975,               0.000152,               0.000152,               0.000152
                     30,                0.47324,                0.98713,                0.89363,                0.98016,                      1,                  0.995,                0.76361,                0.79186,                 1.2317,                 1.0674,                8.6e-05,                8.6e-05,                8.6e-05
